,TP53,EGFR,KRAS,BRAF,ALK,MET,Cancer Type
TCGA-05-4244-01,-0.3442864863478247,0.923176241557291,0.4854888270982236,0.1734770966434573,-0.0841987668752984,2.7717482605614654,1
TCGA-05-4249-01,2.997276087440253,-0.2095336024021191,5.154286508911922,-0.3129381026520657,-0.095669553021245,0.8074752695852901,1
TCGA-05-4250-01,-0.3540788720342269,-0.2116522257766695,4.949695560508308,0.5981225881044081,-0.0983441715366039,0.5774596527845453,1
TCGA-05-4382-01,-0.3583897123091529,-0.2165848804235251,-0.2133659092178946,-0.3192124775811934,-0.1045713139380471,-0.230356099289493,1
TCGA-05-4384-01,2.096228548808402,-0.1983081320683733,-0.1916103079318549,-0.3029494439414171,-0.0814981570294394,-0.2140631045234657,1
TCGA-05-4389-01,-0.3559170017253158,-0.2137554952981616,-0.2099979701580613,2.4006250315833824,-0.100999406852398,-0.2278338149015467,1
TCGA-05-4390-01,-0.3446927833820642,-0.1052258999539959,1.0260359258362248,-0.3052666398182075,0.0787928807163184,-0.2163845693330855,1
TCGA-05-4395-01,-0.358240122715086,1.924407341072897,1.8492799423928248,-0.3190601695549935,-0.1043552271325474,0.0021157192486187,1
TCGA-05-4396-01,-0.3524543305741555,-0.2097933533826631,2.438496314075988,0.6871372307396871,-0.0959974710411682,-0.224301722855574,1
TCGA-05-4397-01,-0.3652714467787966,-0.2244592662381789,-0.2227391300352489,-0.32621927107136,4.736779664420856,-0.2373758012830191,1
TCGA-05-4398-01,-0.3605292850010052,2.2578691356053504,-0.2162801000202247,1.338382025210886,-0.1076619930123565,3.2347475897671263,1
TCGA-05-4402-01,-0.354519683341595,3.3774307070891303,-0.2080947619159333,-0.3152721201180778,-0.0989809371340476,-0.2264084825689694,1
TCGA-05-4403-01,0.5874435593311834,-0.2112659034471843,-0.2070345016776536,-0.3144795404189305,-0.0978564657613587,-0.2256144427129438,1
TCGA-05-4405-01,5.634829077723992,1.818815301780776,-0.1960493286569195,-0.0005863177396223,-0.0862060122784553,-0.1070792775018782,1
TCGA-05-4410-01,1.0442844343300268,4.55159362013712,-0.1951848082892934,1.5937606275864196,-0.0852891351105636,4.449990107052682,1
TCGA-05-4415-01,-0.364316178268588,3.191656053140161,1.8122201442433927,-0.32524664284686,-0.1131322777207617,-0.2364013812011279,1
TCGA-05-4417-01,-0.3466171472918148,-0.2031141893668539,3.759564290617112,1.5410649858899772,-0.0875654788530364,-0.2183475135927244,1
TCGA-05-4418-01,-0.3618643277782798,-0.220560689557423,-0.2180984861853997,-0.3227502358538068,-0.1095905036868212,-0.2339003751174777,1
TCGA-05-4420-01,-0.3569171515924887,-0.2148999111371242,-0.2113602176549406,-0.3177131566049321,-0.1024441543374524,-0.2288540161382246,1
TCGA-05-4422-01,3.875983654267775,-0.2156803953309515,-0.2122892616293397,-0.3184076477941129,-0.1034294627697256,-0.2295497867773936,1
TCGA-05-4424-01,2.3430093877672715,-0.2194460378695607,1.8641826541140512,3.869869452072824,1.3928702890917373,-0.2329067074385568,1
TCGA-05-4425-01,-0.3485095541035143,-0.2052795651771722,0.2174817689539205,-0.3091527711943138,-0.0902991191519955,-0.2202778600667488,1
TCGA-05-4426-01,-0.3490459508987373,-0.2058933341817687,-0.2006393009259254,-0.3096989157149276,-0.0910739609495356,2.0197871547584074,1
TCGA-05-4427-01,0.3393695062599327,-0.2053434683558173,2.459675280711408,3.484221608286416,-0.090379792586853,4.9995004979794055,1
TCGA-05-4430-01,0.7340933313182865,-0.2186318173737116,0.193600074374125,-0.3210338849690126,-0.1071554331979901,-0.2321808622269537,1
TCGA-05-4432-01,1.4795682215422572,-0.213813088487879,-0.2100665258140202,-0.3167460790394,-0.1010721143536118,-0.2278851569411913,1
TCGA-05-4433-01,-0.3444922180064899,-0.2006827510288428,2.8626057562715297,-0.305062429647919,4.641981862364694,-0.2161799829496729,1
TCGA-05-4434-01,3.3717018760215094,-0.2175023211125841,-0.2144579784113258,-0.3200288355294857,-0.1057295206694447,-0.2311739612009508,1
TCGA-05-5423-01,0.1728600836489567,-0.2159144692935413,-0.2125678899554835,0.7267882443098437,-0.1037249652935939,-0.2297584544119875,1
TCGA-05-5425-01,-0.3575142308768055,-0.2155831157372707,-0.2121734655362787,-0.3183210863733529,-0.1033066538714803,-0.2294630658859153,1
